filepath,label,recording_id,frame_index
normal/normal_00001.jpg,normal,additional_vid1,1
normal/normal_00002.jpg,normal,additional_vid1,2
normal/normal_00003.jpg,normal,additional_vid1,3
normal/normal_00004.jpg,normal,additional_vid1,4
normal/normal_00005.jpg,normal,additional_vid1,5
normal/normal_00006.jpg,normal,additional_vid1,6
normal/normal_00007.jpg,normal,additional_vid1,7
normal/normal_00008.jpg,normal,additional_vid1,8
normal/normal_00009.jpg,normal,additional_vid1,9
normal/normal_00010.jpg,normal,additional_vid1,10
normal/normal_00011.jpg,normal,additional_vid1,11
normal/normal_00012.jpg,normal,additional_vid1,12
normal/normal_00013.jpg,normal,additional_vid1,13
normal/normal_00014.jpg,normal,additional_vid1,14
normal/normal_00015.jpg,normal,additional_vid1,15
normal/normal_00016.jpg,normal,additional_vid1,16
normal/normal_00017.jpg,normal,additional_vid1,17
normal/normal_00018.jpg,normal,additional_vid1,18
normal/normal_00019.jpg,normal,additional_vid1,19
normal/normal_00020.jpg,normal,additional_vid1,20
normal/normal_00021.jpg,normal,additional_vid1,21
normal/normal_00022.jpg,normal,additional_vid1,22
normal/normal_00023.jpg,normal,additional_vid1,23
normal/normal_00024.jpg,normal,additional_vid1,24
normal/normal_00025.jpg,normal,additional_vid1,25
normal/normal_00026.jpg,normal,additional_vid1,26
normal/normal_00027.jpg,normal,additional_vid1,27
normal/normal_00028.jpg,normal,additional_vid1,28
normal/normal_00029.jpg,normal,additional_vid1,29
normal/normal_00030.jpg,normal,additional_vid1,30
normal/normal_00031.jpg,normal,additional_vid1,31
normal/normal_00032.jpg,normal,additional_vid1,32
normal/normal_00033.jpg,normal,additional_vid1,33
normal/normal_00034.jpg,normal,additional_vid1,34
normal/normal_00035.jpg,normal,additional_vid1,35
normal/normal_00036.jpg,normal,additional_vid1,36
normal/normal_00037.jpg,normal,additional_vid1,37
normal/normal_00038.jpg,normal,additional_vid1,38
normal/normal_00039.jpg,normal,additional_vid1,39
normal/normal_00040.jpg,normal,additional_vid1,40
normal/normal_00041.jpg,normal,additional_vid1,41
normal/normal_00042.jpg,normal,additional_vid1,42
normal/normal_00043.jpg,normal,additional_vid1,43
normal/normal_00044.jpg,normal,additional_vid1,44
normal/normal_00045.jpg,normal,additional_vid1,45
normal/normal_00046.jpg,normal,additional_vid1,46
normal/normal_00047.jpg,normal,additional_vid1,47
