original_filepath,new_filepath,recording_id,frame_index
normal/additional_vid1_0001.jpg,normal/normal_00001.jpg,additional_vid1,1
normal/additional_vid1_0002.jpg,normal/normal_00002.jpg,additional_vid1,2
normal/additional_vid1_0003.jpg,normal/normal_00003.jpg,additional_vid1,3
normal/additional_vid1_0004.jpg,normal/normal_00004.jpg,additional_vid1,4
normal/additional_vid1_0005.jpg,normal/normal_00005.jpg,additional_vid1,5
normal/additional_vid1_0006.jpg,normal/normal_00006.jpg,additional_vid1,6
normal/additional_vid1_0007.jpg,normal/normal_00007.jpg,additional_vid1,7
normal/additional_vid1_0008.jpg,normal/normal_00008.jpg,additional_vid1,8
normal/additional_vid1_0009.jpg,normal/normal_00009.jpg,additional_vid1,9
normal/additional_vid1_0010.jpg,normal/normal_00010.jpg,additional_vid1,10
normal/additional_vid1_0011.jpg,normal/normal_00011.jpg,additional_vid1,11
normal/additional_vid1_0012.jpg,normal/normal_00012.jpg,additional_vid1,12
normal/additional_vid1_0013.jpg,normal/normal_00013.jpg,additional_vid1,13
normal/additional_vid1_0014.jpg,normal/normal_00014.jpg,additional_vid1,14
normal/additional_vid1_0015.jpg,normal/normal_00015.jpg,additional_vid1,15
normal/additional_vid1_0016.jpg,normal/normal_00016.jpg,additional_vid1,16
normal/additional_vid1_0017.jpg,normal/normal_00017.jpg,additional_vid1,17
normal/additional_vid1_0018.jpg,normal/normal_00018.jpg,additional_vid1,18
normal/additional_vid1_0019.jpg,normal/normal_00019.jpg,additional_vid1,19
normal/additional_vid1_0020.jpg,normal/normal_00020.jpg,additional_vid1,20
normal/additional_vid1_0021.jpg,normal/normal_00021.jpg,additional_vid1,21
normal/additional_vid1_0022.jpg,normal/normal_00022.jpg,additional_vid1,22
normal/additional_vid1_0023.jpg,normal/normal_00023.jpg,additional_vid1,23
normal/additional_vid1_0024.jpg,normal/normal_00024.jpg,additional_vid1,24
normal/additional_vid1_0025.jpg,normal/normal_00025.jpg,additional_vid1,25
normal/additional_vid1_0026.jpg,normal/normal_00026.jpg,additional_vid1,26
normal/additional_vid1_0027.jpg,normal/normal_00027.jpg,additional_vid1,27
normal/additional_vid1_0028.jpg,normal/normal_00028.jpg,additional_vid1,28
normal/additional_vid1_0029.jpg,normal/normal_00029.jpg,additional_vid1,29
normal/additional_vid1_0030.jpg,normal/normal_00030.jpg,additional_vid1,30
normal/additional_vid1_0031.jpg,normal/normal_00031.jpg,additional_vid1,31
normal/additional_vid1_0032.jpg,normal/normal_00032.jpg,additional_vid1,32
normal/additional_vid1_0033.jpg,normal/normal_00033.jpg,additional_vid1,33
normal/additional_vid1_0034.jpg,normal/normal_00034.jpg,additional_vid1,34
normal/additional_vid1_0035.jpg,normal/normal_00035.jpg,additional_vid1,35
normal/additional_vid1_0036.jpg,normal/normal_00036.jpg,additional_vid1,36
normal/additional_vid1_0037.jpg,normal/normal_00037.jpg,additional_vid1,37
normal/additional_vid1_0038.jpg,normal/normal_00038.jpg,additional_vid1,38
normal/additional_vid1_0039.jpg,normal/normal_00039.jpg,additional_vid1,39
normal/additional_vid1_0040.jpg,normal/normal_00040.jpg,additional_vid1,40
normal/additional_vid1_0041.jpg,normal/normal_00041.jpg,additional_vid1,41
normal/additional_vid1_0042.jpg,normal/normal_00042.jpg,additional_vid1,42
normal/additional_vid1_0043.jpg,normal/normal_00043.jpg,additional_vid1,43
normal/additional_vid1_0044.jpg,normal/normal_00044.jpg,additional_vid1,44
normal/additional_vid1_0045.jpg,normal/normal_00045.jpg,additional_vid1,45
normal/additional_vid1_0046.jpg,normal/normal_00046.jpg,additional_vid1,46
normal/additional_vid1_0047.jpg,normal/normal_00047.jpg,additional_vid1,47
normal/additional_vid1_0048.jpg,normal/normal_00048.jpg,additional_vid1,48
normal/additional_vid1_0049.jpg,normal/normal_00049.jpg,additional_vid1,49
normal/additional_vid1_0050.jpg,normal/normal_00050.jpg,additional_vid1,50
normal/additional_vid1_0051.jpg,normal/normal_00051.jpg,additional_vid1,51
normal/additional_vid1_0052.jpg,normal/normal_00052.jpg,additional_vid1,52
normal/additional_vid1_0053.jpg,normal/normal_00053.jpg,additional_vid1,53
normal/additional_vid1_0054.jpg,normal/normal_00054.jpg,additional_vid1,54
normal/additional_vid1_0055.jpg,normal/normal_00055.jpg,additional_vid1,55
normal/additional_vid1_0056.jpg,normal/normal_00056.jpg,additional_vid1,56
normal/additional_vid1_0057.jpg,normal/normal_00057.jpg,additional_vid1,57
normal/additional_vid1_0058.jpg,normal/normal_00058.jpg,additional_vid1,58
