split,original_filename,new_filename
test,img_0113_jpg.rf.1e369834dc7e399f2fb5abbd01b5af65.jpg,detection_test_0001.jpg
test,img_0122_jpg.rf.a719b3f3b266d5e5a680447e5422b6de.jpg,detection_test_0002.jpg
test,img_0126_jpg.rf.4e732542af1e3497dd0494d097768bb3.jpg,detection_test_0003.jpg
test,img_0129_jpg.rf.7d1856ec69b196b6debe14d9a2686f6b.jpg,detection_test_0004.jpg
test,img_0131_jpg.rf.bf21b9436640f9fd9828091618c9c566.jpg,detection_test_0005.jpg
test,img_0146_jpg.rf.c801b74ceafa28a70be93ac3bdd81b9f.jpg,detection_test_0006.jpg
test,img_0164_jpg.rf.dfd13d8fdeff236e1dabc52fd2989bb8.jpg,detection_test_0007.jpg
test,img_0165_jpg.rf.939c45d77398d04cb6b7e59f815b2eaa.jpg,detection_test_0008.jpg
test,img_0169_jpg.rf.cfd6639667699d33f48d5e81914add64.jpg,detection_test_0009.jpg
test,img_0178_jpg.rf.5234abc92791b28f727a6b57bc3d6ad7.jpg,detection_test_0010.jpg
test,img_0187_jpg.rf.25527ef65e914f97bc6a92bb3357a332.jpg,detection_test_0011.jpg
test,img_0201_jpg.rf.2320fca25566c46cdc033313e264c006.jpg,detection_test_0012.jpg
test,img_0207_jpg.rf.6aa0a990bf18abcd382ed61aaa470e3c.jpg,detection_test_0013.jpg
test,img_0214_jpg.rf.960682137f7cbbd2d5a8e13a723e0afc.jpg,detection_test_0014.jpg
test,img_0234_jpg.rf.81c9855374d783709eab441ed4af4636.jpg,detection_test_0015.jpg
test,img_0287_jpg.rf.0f74205c2d9b5962e81b4516c3ed468e.jpg,detection_test_0016.jpg
test,img_0294_jpg.rf.96428e5a0c4649141c9fbdcb377ea113.jpg,detection_test_0017.jpg
test,img_0308_jpg.rf.fe627feddca756a7b248c03312c8d8c9.jpg,detection_test_0018.jpg
test,img_0317_jpg.rf.2c470bab8678aa160b922f3a0c7e76db.jpg,detection_test_0019.jpg
test,img_0321_jpg.rf.477717142f16ee14a657948fc2466221.jpg,detection_test_0020.jpg
test,img_0331_jpg.rf.00a59585998244b98caaefbce567ffcc.jpg,detection_test_0021.jpg
test,img_0351_jpg.rf.7f256fdf71789932b26955c659941efb.jpg,detection_test_0022.jpg
test,img_0358_jpg.rf.5db8203441a5df5bea6ab1a1e550ffee.jpg,detection_test_0023.jpg
